subject,stim_name,ensemble,genre,target,mean_pearson
0005,classique_morceau1_duo_CoFl_theme2_stereo_Co,duo,classique,Co,-0.00810974563687432
0005,classique_morceau1_duo_CoOb_theme2_stereo_Co,duo,classique,Co,0.0026587351403816093
0005,classique_morceau1_duo_CoOb_theme2_stereo_Ob,duo,classique,Ob,0.019346312448352148
0005,classique_morceau1_duo_FlOb_theme1_stereo_Fl,duo,classique,Fl,-0.004087577233387116
0005,classique_morceau1_duo_FlOb_theme1_stereo_Ob,duo,classique,Ob,-0.03355397845029037
0005,classique_morceau1_trio_CoFlOb_theme1_stereo_Fl,trio,classique,Fl,-0.016613355402008586
0005,classique_morceau1_trio_CoFlOb_theme2_stereo_Co,trio,classique,Co,-0.016821537612160844
0005,classique_morceau1_trio_CoFlOb_theme2_stereo_Ob,trio,classique,Ob,-0.00454799635694031
0005,classique_morceau2_duo_BoFh_theme1_stereo_Bo,duo,classique,Bo,0.006268039449078316
0005,classique_morceau2_duo_BoFh_theme2_stereo_Fh,duo,classique,Fh,-0.031614269326361175
0005,classique_morceau2_duo_BoFl_theme1_stereo_Bo,duo,classique,Bo,-0.011471890992811632
0005,classique_morceau2_duo_BoFl_theme1_stereo_Fl,duo,classique,Fl,-0.020361157774848416
0005,classique_morceau2_duo_FhFl_theme1_stereo_Fh,duo,classique,Fh,-0.0025499096520684773
0005,classique_morceau2_duo_FhFl_theme1_stereo_Fl,duo,classique,Fl,0.02362395143845718
0005,classique_morceau2_trio_BoFhFl_theme1_stereo_Bo,trio,classique,Bo,-0.015191320259199064
0005,classique_morceau2_trio_BoFhFl_theme1_stereo_Fh,trio,classique,Fh,-0.00918065255570566
0005,classique_morceau2_trio_BoFhFl_theme2_stereo_Fl,trio,classique,Fl,0.016616224231069076
0005,pop_falldead_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,0.011204149149756005
0005,pop_falldead_duo_BsDr_theme1_stereo_Dr,duo,pop,Dr,-0.0017141250048908184
